INFO:root:Start training with [gpu(0)]
INFO:root:Epoch[15] Batch [0-250]	Speed: 100.42 samples/sec	accuracy=0.089750	top_k_accuracy_5=0.237500	cross-entropy=6.030460
INFO:root:Epoch[15] Batch [250-500]	Speed: 99.56 samples/sec	accuracy=0.094500	top_k_accuracy_5=0.229875	cross-entropy=6.014411
INFO:root:Epoch[15] Batch [500-750]	Speed: 97.74 samples/sec	accuracy=0.096750	top_k_accuracy_5=0.239250	cross-entropy=5.989800
INFO:root:Epoch[15] Batch [750-1000]	Speed: 98.44 samples/sec	accuracy=0.089000	top_k_accuracy_5=0.233000	cross-entropy=5.999557
INFO:root:Epoch[15] Batch [1000-1250]	Speed: 99.04 samples/sec	accuracy=0.097250	top_k_accuracy_5=0.242125	cross-entropy=5.933001
INFO:root:Epoch[15] Batch [1250-1500]	Speed: 96.19 samples/sec	accuracy=0.101500	top_k_accuracy_5=0.244750	cross-entropy=5.922748
INFO:root:Epoch[15] Batch [1500-1750]	Speed: 95.10 samples/sec	accuracy=0.096500	top_k_accuracy_5=0.239375	cross-entropy=5.963436
INFO:root:Epoch[15] Batch [1750-2000]	Speed: 97.91 samples/sec	accuracy=0.099375	top_k_accuracy_5=0.239500	cross-entropy=5.933028
INFO:root:Epoch[15] Batch [2000-2250]	Speed: 99.46 samples/sec	accuracy=0.107500	top_k_accuracy_5=0.250625	cross-entropy=5.897212
INFO:root:Epoch[15] Batch [2250-2500]	Speed: 99.34 samples/sec	accuracy=0.110625	top_k_accuracy_5=0.249000	cross-entropy=5.885972
INFO:root:Epoch[15] Batch [2500-2750]	Speed: 99.47 samples/sec	accuracy=0.102625	top_k_accuracy_5=0.252125	cross-entropy=5.886972
INFO:root:Epoch[15] Batch [2750-3000]	Speed: 99.42 samples/sec	accuracy=0.103750	top_k_accuracy_5=0.256500	cross-entropy=5.852271
INFO:root:Epoch[15] Batch [3000-3250]	Speed: 99.58 samples/sec	accuracy=0.102000	top_k_accuracy_5=0.252000	cross-entropy=5.880084
INFO:root:Epoch[15] Batch [3250-3500]	Speed: 99.54 samples/sec	accuracy=0.108000	top_k_accuracy_5=0.255250	cross-entropy=5.845579
INFO:root:Epoch[15] Batch [3500-3750]	Speed: 99.55 samples/sec	accuracy=0.107250	top_k_accuracy_5=0.257750	cross-entropy=5.819634
