INFO:root:Epoch[0] Batch [0-250]	Speed: 172.39 samples/sec	accuracy=0.012326	top_k_accuracy_5=0.014318
INFO:root:Epoch[0] Batch [250-500]	Speed: 172.15 samples/sec	accuracy=0.016375	top_k_accuracy_5=0.017500
INFO:root:Epoch[0] Batch [500-750]	Speed: 172.10 samples/sec	accuracy=0.015500	top_k_accuracy_5=0.017500
INFO:root:Epoch[0] Batch [750-1000]	Speed: 173.26 samples/sec	accuracy=0.018125	top_k_accuracy_5=0.021000
INFO:root:Epoch[0] Batch [1000-1250]	Speed: 173.23 samples/sec	accuracy=0.016000	top_k_accuracy_5=0.019625
INFO:root:Epoch[0] Batch [1250-1500]	Speed: 173.22 samples/sec	accuracy=0.016750	top_k_accuracy_5=0.019625
INFO:root:Epoch[0] Batch [1500-1750]	Speed: 172.62 samples/sec	accuracy=0.016875	top_k_accuracy_5=0.021875
INFO:root:Epoch[0] Batch [1750-2000]	Speed: 169.91 samples/sec	accuracy=0.018125	top_k_accuracy_5=0.022000
INFO:root:Epoch[0] Batch [2000-2250]	Speed: 173.26 samples/sec	accuracy=0.018625	top_k_accuracy_5=0.023000
INFO:root:Epoch[0] Batch [2250-2500]	Speed: 173.18 samples/sec	accuracy=0.020750	top_k_accuracy_5=0.025500
INFO:root:Epoch[0] Batch [2500-2750]	Speed: 173.18 samples/sec	accuracy=0.020000	top_k_accuracy_5=0.024750
INFO:root:Epoch[0] Batch [2750-3000]	Speed: 173.18 samples/sec	accuracy=0.016875	top_k_accuracy_5=0.022125
INFO:root:Epoch[0] Batch [3000-3250]	Speed: 173.25 samples/sec	accuracy=0.016250	top_k_accuracy_5=0.021625
INFO:root:Epoch[0] Batch [3250-3500]	Speed: 173.17 samples/sec	accuracy=0.018125	top_k_accuracy_5=0.022750
INFO:root:Epoch[0] Batch [3500-3750]	Speed: 173.12 samples/sec	accuracy=0.017500	top_k_accuracy_5=0.024500
INFO:root:Epoch[0] Batch [3750-4000]	Speed: 173.46 samples/sec	accuracy=0.017750	top_k_accuracy_5=0.024125
INFO:root:Epoch[0] Batch [4000-4250]	Speed: 173.46 samples/sec	accuracy=0.016875	top_k_accuracy_5=0.023875
INFO:root:Epoch[0] Batch [4250-4500]	Speed: 173.51 samples/sec	accuracy=0.017000	top_k_accuracy_5=0.023875
INFO:root:Epoch[0] Batch [4500-4750]	Speed: 173.45 samples/sec	accuracy=0.020875	top_k_accuracy_5=0.026750
INFO:root:Epoch[0] Batch [4750-5000]	Speed: 173.43 samples/sec	accuracy=0.015375	top_k_accuracy_5=0.024250
INFO:root:Epoch[0] Batch [5000-5250]	Speed: 173.50 samples/sec	accuracy=0.020125	top_k_accuracy_5=0.029250
INFO:root:Epoch[0] Batch [5250-5500]	Speed: 173.44 samples/sec	accuracy=0.019250	top_k_accuracy_5=0.028875
INFO:root:Epoch[0] Batch [5500-5750]	Speed: 173.48 samples/sec	accuracy=0.017000	top_k_accuracy_5=0.025875
INFO:root:Epoch[0] Batch [5750-6000]	Speed: 173.48 samples/sec	accuracy=0.017875	top_k_accuracy_5=0.027625
